school_id,school_name,locale,year
1,A2 Virtual + Academy,,2019
3,The Academy of Advanced Learning,Urban,2019
8,Anastasis Academy,Urban,2019
11,Aspen Academy,Urban,2019
35,CICS West Belden,Urban,2019
49,Crosstown High,Urban,2019
58,Digital Pioneers Academy,Urban,2019
62,Early Technical College at Tennessee College of Applied Technology,Urban,2019
67,Empower Community High School,Urban,2019
72,Farmington High School,Suburban,2019
80,Fred Tjardes School of Innovation,Urban,2019
81,Future Public School,Suburban,2019
100,IDEATE High School,Urban,2019
101,Impact Public School,Suburban,2019
106,Kent Innovation High School,Urban,2019
111,Latitude 37.8 High School,Urban,2019
122,Map Academy Charter School,Suburban,2019
135,Nativity of Mary Catholic School,Urban,2019
136,NC School of Science and Mathematics,Suburban,2019
141,Norris Academy,Rural,2019
143,North Little Rock Middle School - 6th Grade Campus,Urban,2019
150,One Stone,Urban,2019
164,Powderhouse Studios [Nonoperating school],Suburban,2019
165,Purdue Polytechnic High School,Urban,2019
172,Rooted School,Urban,2019
190,Social Justice School,Urban,2019
194,St. Alphonsus Catholic School,Suburban,2019
195,Statesmen College Preparatory Academy for Boys PCS,Urban,2019
205,The NET Charter High School: Gentilly,Urban,2019
230,Workspace Education,Suburban,2019
39,Clarendon High School,Rural,2021
49,Crosstown High,Urban,2021
52,DB EXCEL (Kingsport),Urban,2021
63,East College Prep,Urban,2021
67,Empower Community High School,Urban,2021
112,Launch Network at Stedman Elementary,Urban,2021
150,One Stone,Urban,2021
185,Silverton School,Rural,2021
189,Social Justice Humanitas Academy,Urban,2021
190,Social Justice School,Urban,2021
199,Summit Public Schools,Urban,2021
229,Winterboro High School,Rural,2021
230,Workspace Education,Suburban,2021
247,Blue Valley Center for Advanced Professional Studies (CAPS),Urban,2021
253,Community of Saints Regional Catholic School,Suburban,2021
266,Embark Education,Urban,2021
276,Grand Rapids Public Museum School,Urban,2021
284,Highlands Micro School,Urban,2021
287,Ida B. Wells Middle School,Urban,2021
293,Iowa BIG,,2021
303,Living School,Urban,2021
325,Nuvu Studio,Urban,2021
329,Opportunities Academy,Urban,2021
348,Science Leadership Academy,Urban,2021
351,Sojourner Truth Montessori School,Urban,2021
360,Center for Advanced Research and Technology CART,Suburban,2021
368,Verdi EcoSchool,Urban,2021
88,Grimmway Academy Shafter,Rural,2021
400,Legacy Prep,Urban,2021
389,Central Vermont Career Center,Rural,2021
402,i3 Academy,Urban,2021
395,Missisquoi Valley Union Middle and High School,Rural,2021
194,St. Alphonsus Catholic School,Suburban,2021
394,Hazen Union High School,Rural,2021
478,West Michigan Virtual Academy,Urban,2021
475,Link Learning,,2021
1,A2 Virtual + Academy,,2021
251,City of Bridges High School,Urban,2021
391,Bellows Free Academy,Rural,2021
396,Quest Academy,Suburban,2021
443,Rooted School Indianapolis,Urban,2021
382,Next STEP High,Urban,2021
472,Burlington City & Lake Semester,Urban,2021
408,Learn4Life Inglewood - Alta Vista Innovation High,Suburban,2021
462,Spring Grove School,Rural,2021
466,The Forest School,Rural,2021
228,William Smith High School,Urban,2021
62,Early Technical College at Tennessee College of Applied Technology,Urban,2021
45,Community Lab School,Rural,2022
150,One Stone,Urban,2022
293,Iowa Big,,2022
368,Verdi Ecoschool,Urban,2022
466,The Forest Schools,Rural,2022
475,Link Learning,,2022
528,KIPP Philadelphia Preparatory Academy,Urban,2022
532,Cabot School,Rural,2022
535,CLK Engage At CLK Elementary School,Rural,2022
571,Utah Schools For The Deaf,Urban,2022
573,Southern Nevada Urban Micro Academy,Suburban,2022
586,Foundation School Of Autism - San Antonio,Urban,2022
610,Portal Schools,Suburban,2022
612,Unidos Homeschool Cooperative,Urban,2022